[2025-11-07T13:20:02.765126600] [WARNING] El archivo logs.txt ya existe.
[2025-11-07T13:20:02.772106600] [WARNING] El archivo errorlog.txt ya existe.
[2025-11-07T13:20:02.773104] [INFO] Aplicación iniciada correctamente.
[2025-11-07T13:20:05.414099] [INFO] Listado de categorias cargado
[2025-11-07T13:20:05.472938900] [INFO] Lista de productos cargada correctamente
[2025-11-07T13:20:05.803163] [INFO] Inventario exportado correctamente a src/resources/inventario.xml
[2025-11-07T13:20:05.804161200] [INFO] Inventario exportado a XML correctamente.
[2025-11-07T13:21:27.174846900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.180831900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.185819500] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.190806400] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.194798200] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.199784100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.204767400] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.209753500] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.215774600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.219726700] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.223716600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.228704100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.233691900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.238678100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.242667100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.248650400] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.252640800] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.256628600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.261617200] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.266601700] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.270590400] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.275579800] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.280565600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.284554600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.289541600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.294530900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.299515100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.303502700] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.308489600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.312479500] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.317467400] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.321456200] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.326441800] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.331429400] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.335417900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.339406500] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.345395100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.349382700] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.354366200] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.359353900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.364340800] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.369328900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.373317300] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.378305800] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.382293900] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.387279600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.392267100] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.403237600] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.409220700] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.414208] [INFO] Producto agregado correctamente
[2025-11-07T13:21:27.419193200] [INFO] Producto agregado correctamente
